EIA ORISPL ID,EIA Plant Name,EPA/CAMD ORISPL ID,EPA/CAMD Plant Name
57901,El Segundo Power,330,El Segundo
57068,GenConn Middletown LLC,562,Middletown
7546,Ponca City,762,Ponca
56565,J Lamar Stall Unit,1416,Arsenal Hill Power Plant
58215,Lee Combined Cycle Plant,2709,H F Lee Steam Electric Plant
58697,L V Sutton Combined Cycle,2713,L V Sutton
7512,Arthur Von Rosenberg,3612,V H Braunig
7799,West Marinette 34,4076,West Marinette
7294,Central Energy Plant,7254,Reedy Creek
7268,491 E 48th Street,7258,48th Street Peaking Station
55545,Hidalgo Energy Center,7762,Calpine Hidalgo Energy Center
7709,Dahlberg,7765,Dahlberg (Jackson County)
10397,ArcelorMittal Indiana Harbor West,10474,ArcelorMittal USA - Indiana Harbor East
54995,Indiana Harbor E 5 AC Station,10474,ArcelorMittal USA - Indiana Harbor East
7784,Allegany Cogen,10619,Alleghany Station No. 133
1393,R S Nelson,50030,Nelson Industrial Steam Company
10789,Sabine River Works,55120,SRW Cogen Limited Partnership
59338,Sundevil Power Holdings - Gila River,55306,Gila River Power Station
59784,Gila River Power Block 3,55306,Gila River Power Station
57664,Astoria Energy II,55375,Astoria Energy
58557,Mesquite Generating Station Block 1,55481,Mesquite Generating Station
55874,Panoche Peaker,55508,CalPeak Power - Panoche LLC
54538,Hartwell Energy Facility,70454,Hartwell Energy Facility
