plant_id_eia,generator_id,plant_name_eia,fuel_type_primary,updated_fuel_type_code,prime_mover_code,BOTFIRTY,notes
1391,1A,Louisiana 1,OG,PRG,ST,TANGENTIAL,these are CAMD plants that we add here to help update emissions in query 2u141c later
1391,2A,Louisiana 1,OG,PRG,ST,TANGENTIAL,these are CAMD plants that we add here to help update emissions in query 2u141c later
1391,3A,Louisiana 1,OG,PRG,ST,TANGENTIAL,these are CAMD plants that we add here to help update emissions in query 2u141c later
1391,4A,Louisiana 1,OG,PRG,CT,CC,these are CAMD plants that we add here to help update emissions in query 2u141c later
1391,5A,Louisiana 1,OG,PRG,CT,CC,these are CAMD plants that we add here to help update emissions in query 2u141c later
10072,WHBOIL,Engineered Carbons Borger Cogen,OG,PRG,ST,null,OG is Off Gas
10398,B001,ArcelorMittal Cleveland LLC,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10398,B002,ArcelorMittal Cleveland LLC,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10398,B003,ArcelorMittal Cleveland LLC,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10398,B004,ArcelorMittal Cleveland LLC,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10398,B007,ArcelorMittal Cleveland LLC,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10474,211,ArcelorMittal USA - Indiana Harbor East,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10474,212,ArcelorMittal USA - Indiana Harbor East,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10474,213,ArcelorMittal USA - Indiana Harbor East,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10474,501,ArcelorMittal USA - Indiana Harbor East,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
10474,502,ArcelorMittal USA - Indiana Harbor East,OG,PRG,ST,WALL,these are CAMD plants that we add here to help update emissions in query 2u141c later
