prime_mover_code,energy_source_code,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator
ST,AB,N/A,1.2,lb,ton
ST,AB,STOKER,1.2,lb,ton
ST,BFG,N/A,0.0154,lb,mcf
ST,BFG,TANGENTIAL,0.0154,lb,mcf
ST,BFG,WALL,0.0154,lb,mcf
ST,BIT,CYCLONE,33,lb,ton
ST,BIT,DRY CYCLONE,33,lb,ton
ST,BIT,DRY FLUIDIZED,5,lb,ton
ST,BIT,DRY STOKER,11,lb,ton
ST,BIT,DRY TANGENTIAL,10,lb,ton
ST,BIT,DRY VERTICAL,12,lb,ton
ST,BIT,DRY WALL,12,lb,ton
ST,BIT,FLUIDIZED,5,lb,ton
ST,BIT,N/A,12,lb,ton
ST,BIT,OTHER,12,lb,ton
ST,BIT,STOKER,11,lb,ton
ST,BIT,TANGENTIAL,10,lb,ton
ST,BIT,WALL,12,lb,ton
ST,BIT,WET CYCLONE,33,lb,ton
ST,BIT,WET FLUIDIZED,5,lb,ton
ST,BIT,WET OTHER,31,lb,ton
ST,BIT,WET TANGENTIAL,14,lb,ton
ST,BIT,WET VERTICAL,31,lb,ton
ST,BIT,WET WALL,31,lb,ton
ST,BLQ,CYCLONE,1.5,lb,ton
ST,BLQ,DRY FLUIDIZED,1.5,lb,ton
ST,BLQ,DRY TANGENTIAL,1.5,lb,ton
ST,BLQ,DRY WALL,1.5,lb,ton
ST,BLQ,FLUIDIZED,1.5,lb,ton
ST,BLQ,N/A,1.5,lb,ton
ST,BLQ,OTHER,1.5,lb,ton
ST,BLQ,TANGENTIAL,1.5,lb,ton
ST,BLQ,WALL,1.5,lb,ton
ST,COG,CYCLONE,0.0154,lb,mcf
OT,COG,N/A,0.0154,lb,mcf
ST,COG,N/A,0.0154,lb,mcf
ST,COG,WALL,0.0154,lb,mcf
CT,DFO,CC,5.124,lb,barrels
GT,DFO,CT,5.124,lb,barrels
ST,DFO,DRY TANGENTIAL,1.008,lb,barrels
ST,DFO,DRY WALL,1.008,lb,barrels
CT,DFO,N/A,5.124,lb,barrels
ST,DFO,N/A,1.008,lb,barrels
CA,DFO,N/A,5.124,lb,barrels
CS,DFO,N/A,5.124,lb,barrels
CT,DFO,N/A,5.124,lb,barrels
GT,DFO,N/A,5.124,lb,barrels
IC,DFO,N/A,18.6396,lb,barrels
ST,DFO,N/A,1.008,lb,barrels
ST,DFO,OTHER,1.008,lb,barrels
ST,DFO,TANGENTIAL,1.008,lb,barrels
ST,DFO,WALL,1.008,lb,barrels
ST,DFO,WET TANGENTIAL,1.008,lb,barrels
GT,JF,CT,4.9896,lb,barrels
GT,JF,N/A,4.9896,lb,barrels
IC,JF,N/A,18.144,lb,barrels
ST,JF,N/A,1.008,lb,barrels
GT,KER,CT,4.9896,lb,barrels
GT,KER,N/A,4.9896,lb,barrels
CA,LFG,N/A,0.087,lb,mcf
CS,LFG,N/A,0.087,lb,mcf
CT,LFG,N/A,0.087,lb,mcf
GT,LFG,N/A,0.087,lb,mcf
IC,LFG,N/A,0.725,lb,mcf
ST,LFG,N/A,0.042,lb,mcf
ST,LIG,DRY FLUIDIZED,3.6,lb,ton
ST,LIG,DRY TANGENTIAL,7.1,lb,ton
ST,LIG,DRY WALL,6.3,lb,ton
ST,LIG,FLUIDIZED,3.6,lb,ton
ST,LIG,N/A,6.3,lb,ton
ST,LIG,TANGENTIAL,7.1,lb,ton
ST,LIG,WET CYCLONE,15,lb,ton
ST,LIG,WET FLUIDIZED,3.6,lb,ton
ST,MSB,N/A,5,lb,ton
ST,MSW,N/A,5,lb,ton
ST,MSW,OTHER,5,lb,ton
CT,NG,CC,0.32,lb,MMBtu
CT,NG,CC,0.328,lb,mcf
GT,NG,CT,0.328,lb,mcf
ST,NG,CYCLONE,0.28,lb,mcf
ST,NG,DRY CYCLONE,0.28,lb,mcf
CA,NG,DRY DUCTBURNER,0.328,lb,mcf
ST,NG,DRY DUCTBURNER,0.17,lb,mcf
ST,NG,DRY STOKER,0.28,lb,mcf
ST,NG,DRY TANGENTIAL,0.17,lb,mcf
ST,NG,DRY VERTICAL,0.28,lb,mcf
CA,NG,DRY WALL,0.328,lb,mcf
ST,NG,DRY WALL,0.28,lb,mcf
CA,NG,DUCTBURNER,0.328,lb,mcf
CS,NG,DUCTBURNER,0.328,lb,mcf
CT,NG,DUCTBURNER,0.328,lb,mcf
ST,NG,DUCTBURNER,0.17,lb,mcf
ST,NG,FLUIDIZED,0.28,lb,mcf
CT,NG,N/A,0.328,lb,mcf
ST,NG,N/A,0.17,lb,mcf
CA,NG,N/A,0.32,lb,MMBtu
CS,NG,N/A,0.32,lb,MMBtu
CT,NG,N/A,0.32,lb,MMBtu
GT,NG,N/A,0.32,lb,MMBtu
IC,NG,N/A,2.768,lb,mcf
ST,NG,N/A,0.17,lb,mcf
ST,NG,OTHER,0.17,lb,mcf
ST,NG,STOKER,0.28,lb,mcf
GT,NG,TANGENTIAL,0.328,lb,mcf
ST,NG,TANGENTIAL,0.17,lb,mcf
ST,NG,WALL,0.28,lb,mcf
ST,NG,WET CYCLONE,0.28,lb,mcf
CA,OBG,N/A,0.3136,lb,mcf
CS,OBG,N/A,0.3136,lb,mcf
CT,OBG,N/A,0.3136,lb,mcf
GT,OBG,N/A,0.3136,lb,mcf
IC,OBG,N/A,2.64648,lb,mcf
ST,OBG,N/A,0.11283,lb,mcf
GT,OBL,N/A,4.7166,lb,barrels
IC,OBL,N/A,17.1486,lb,barrels
ST,OBS,N/A,2,lb,ton
