prime_mover_code,energy_source_code,boiler_bottom_type,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator
ST,AB,WET,CYCLONE,1.2,lb,ton
ST,AB,N/A,N/A,1.2,lb,ton
ST,AB,DRY,STOKER,1.2,lb,ton
ST,AB,N/A,STOKER,1.2,lb,ton
OT,BFG,N/A,N/A,0.0154,lb,mcf
ST,BFG,N/A,N/A,0.0154,lb,mcf
ST,BFG,N/A,TANGENTIAL,0.0154,lb,mcf
ST,BFG,DRY,WALL,0.0154,lb,mcf
ST,BFG,N/A,WALL,0.0154,lb,mcf
ST,BIT,DRY,CELLBURNER,12,lb,ton
ST,BIT,DRY,CYCLONE,33,lb,ton
ST,BIT,N/A,CYCLONE,33,lb,ton
ST,BIT,WET,CYCLONE,33,lb,ton
ST,BIT,DRY,FLUIDIZED,5,lb,ton
ST,BIT,N/A,FLUIDIZED,5,lb,ton
ST,BIT,WET,FLUIDIZED,5,lb,ton
ST,BIT,N/A,N/A,31,lb,ton
ST,BIT,DRY,OTHER,12,lb,ton
ST,BIT,N/A,OTHER,12,lb,ton
ST,BIT,WET,OTHER,31,lb,ton
ST,BIT,DRY,STOKER,11,lb,ton
ST,BIT,N/A,STOKER,11,lb,ton
ST,BIT,WET,STOKER,11,lb,ton
ST,BIT,DRY,TANGENTIAL,10,lb,ton
ST,BIT,N/A,TANGENTIAL,10,lb,ton
ST,BIT,WET,TANGENTIAL,14,lb,ton
ST,BIT,DRY,VERTICAL,12,lb,ton
ST,BIT,WET,VERTICAL,31,lb,ton
ST,BIT,DRY,WALL,12,lb,ton
ST,BIT,N/A,WALL,12,lb,ton
ST,BIT,WET,WALL,31,lb,ton
ST,BLQ,DRY,CELLBURNER,1.5,lb,ton
ST,BLQ,N/A,CYCLONE,1.5,lb,ton
ST,BLQ,N/A,DUCTBURNER,1.5,lb,ton
ST,BLQ,DRY,FLUIDIZED,1.5,lb,ton
ST,BLQ,N/A,FLUIDIZED,1.5,lb,ton
ST,BLQ,WET,FLUIDIZED,1.5,lb,ton
ST,BLQ,N/A,N/A,1.5,lb,ton
ST,BLQ,DRY,OTHER,1.5,lb,ton
ST,BLQ,N/A,OTHER,1.5,lb,ton
ST,BLQ,DRY,STOKER,1.5,lb,ton
ST,BLQ,N/A,STOKER,1.5,lb,ton
ST,BLQ,WET,STOKER,1.5,lb,ton
ST,BLQ,DRY,TANGENTIAL,1.5,lb,ton
ST,BLQ,N/A,TANGENTIAL,1.5,lb,ton
ST,BLQ,WET,TANGENTIAL,1.5,lb,ton
ST,BLQ,DRY,VERTICAL,1.5,lb,ton
ST,BLQ,DRY,WALL,1.5,lb,ton
ST,BLQ,N/A,WALL,1.5,lb,ton
ST,BLQ,WET,WALL,1.5,lb,ton
OT,COG,N/A,N/A,0.0154,lb,mcf
ST,COG,N/A,CYCLONE,0.0154,lb,mcf
ST,COG,N/A,N/A,0.0154,lb,mcf
ST,COG,N/A,WALL,0.0154,lb,mcf
CA,DFO,N/A,CELLBURNER,5.124,lb,barrels
CA,DFO,DRY,DUCTBURNER,5.124,lb,barrels
CA,DFO,N/A,DUCTBURNER,5.124,lb,barrels
CA,DFO,N/A,N/A,5.124,lb,barrels
CA,DFO,N/A,OTHER,5.124,lb,barrels
CA,DFO,DRY,OTHER,5.124,lb,barrels
CA,DFO,N/A,WALL,5.124,lb,barrels
CS,DFO,N/A,N/A,5.124,lb,barrels
CT,DFO,N/A,CC,5.124,lb,barrels
CT,DFO,N/A,CELLBURNER,5.124,lb,barrels
CT,DFO,DRY,DUCTBURNER,5.124,lb,barrels
CT,DFO,N/A,DUCTBURNER,5.124,lb,barrels
CT,DFO,N/A,N/A,5.124,lb,barrels
CT,DFO,DRY,OTHER,5.124,lb,barrels
CT,DFO,N/A,OTHER,5.124,lb,barrels
CT,DFO,N/A,TANGENTIAL,5.124,lb,barrels
CT,DFO,N/A,WALL,5.124,lb,barrels
GT,DFO,N/A,CT,5.124,lb,barrels
GT,DFO,N/A,N/A,5.124,lb,barrels
IC,DFO,N/A,N/A,18.6396,lb,barrels
ST,DFO,DRY,CELLBURNER,1.008,lb,barrels
ST,DFO,DRY,CYCLONE,1.008,lb,barrels
ST,DFO,N/A,CYCLONE,1.008,lb,barrels
ST,DFO,WET,CYCLONE,1.008,lb,barrels
ST,DFO,N/A,DUCTBURNER,1.008,lb,barrels
ST,DFO,DRY,FLUIDIZED,1.008,lb,barrels
ST,DFO,N/A,FLUIDIZED,1.008,lb,barrels
ST,DFO,WET,FLUIDIZED,1.008,lb,barrels
ST,DFO,DRY,N/A,1.008,lb,barrels
ST,DFO,N/A,N/A,1.008,lb,barrels
ST,DFO,WET,N/A,1.008,lb,barrels
ST,DFO,DRY,OTHER,1.008,lb,barrels
ST,DFO,N/A,OTHER,1.008,lb,barrels
ST,DFO,DRY,STOKER,1.008,lb,barrels
ST,DFO,DRY,TANGENTIAL,1.008,lb,barrels
ST,DFO,N/A,TANGENTIAL,1.008,lb,barrels
ST,DFO,WET,TANGENTIAL,1.008,lb,barrels
ST,DFO,DRY,VERTICAL,1.008,lb,barrels
ST,DFO,DRY,WALL,1.008,lb,barrels
ST,DFO,N/A,WALL,1.008,lb,barrels
ST,DFO,WET,WALL,1.008,lb,barrels
BT,GEO,N/A,N/A,0,lb,MMBtu
ST,GEO,N/A,N/A,0.000305,lb,MMBtu
GT,JF,N/A,CT,4.9896,lb,barrels
GT,JF,N/A,N/A,4.9896,lb,barrels
IC,JF,N/A,N/A,18.144,lb,barrels
ST,JF,N/A,N/A,1.008,lb,barrels
CA,KER,N/A,DUCTBURNER,4.9896,lb,barrels
CA,KER,N/A,OTHER,4.9896,lb,barrels
CT,KER,N/A,DUCTBURNER,4.9896,lb,barrels
CT,KER,N/A,N/A,4.9896,lb,barrels
CT,KER,N/A,OTHER,4.9896,lb,barrels
GT,KER,N/A,CT,4.9896,lb,barrels
GT,KER,N/A,N/A,4.9896,lb,barrels
ST,KER,N/A,N/A,1.008,lb,barrels
