prime_mover_code,energy_source_code,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator,multiply_by_sulfur_content
OT,AB,CELLBURNER,0.08,lb,short ton,0
OT,AB,CYCLONE,0.08,lb,short ton,0
OT,AB,DUCTBURNER,0.08,lb,short ton,0
OT,AB,FLUIDIZED,0.01,lb,short ton,0
OT,AB,N/A,0.01,lb,short ton,0
OT,AB,OTHER,0.08,lb,short ton,0
OT,AB,STOKER,0.08,lb,short ton,0
OT,AB,TANGENTIAL,0.08,lb,short ton,0
OT,AB,VERTICAL,0.08,lb,short ton,0
OT,AB,WALL,0.08,lb,short ton,0
ST,AB,CELLBURNER,0.08,lb,short ton,0
ST,AB,CYCLONE,0.08,lb,short ton,0
ST,AB,DUCTBURNER,0.08,lb,short ton,0
ST,AB,FLUIDIZED,0.01,lb,short ton,0
ST,AB,N/A,0.01,lb,short ton,0
ST,AB,OTHER,0.08,lb,short ton,0
ST,AB,STOKER,0.08,lb,short ton,0
ST,AB,TANGENTIAL,0.08,lb,short ton,0
ST,AB,VERTICAL,0.08,lb,short ton,0
ST,AB,WALL,0.08,lb,short ton,0
CA,BFG,CELLBURNER,0.001,lb,Mcf,0
CA,BFG,CYCLONE,0.0006,lb,Mcf,0
CA,BFG,DUCTBURNER,0.0011,lb,Mcf,0
CA,BFG,FLUIDIZED,0.0007,lb,Mcf,0
CA,BFG,N/A,0.0014,lb,Mcf,0
CA,BFG,OTHER,0.0014,lb,Mcf,0
CA,BFG,STOKER,0.0008,lb,Mcf,0
CA,BFG,TANGENTIAL,0.0009,lb,Mcf,0
CA,BFG,VERTICAL,0.0013,lb,Mcf,0
CA,BFG,WALL,0.0012,lb,Mcf,0
CS,BFG,CELLBURNER,0.001,lb,Mcf,0
CS,BFG,CYCLONE,0.0006,lb,Mcf,0
CS,BFG,DUCTBURNER,0.0011,lb,Mcf,0
CS,BFG,FLUIDIZED,0.0007,lb,Mcf,0
CS,BFG,N/A,0.0014,lb,Mcf,0
CS,BFG,OTHER,0.0014,lb,Mcf,0
CS,BFG,STOKER,0.0008,lb,Mcf,0
CS,BFG,TANGENTIAL,0.0009,lb,Mcf,0
CS,BFG,VERTICAL,0.0013,lb,Mcf,0
CS,BFG,WALL,0.0012,lb,Mcf,0
CT,BFG,CELLBURNER,0.001,lb,Mcf,0
CT,BFG,CYCLONE,0.0006,lb,Mcf,0
CT,BFG,DUCTBURNER,0.0011,lb,Mcf,0
CT,BFG,FLUIDIZED,0.0007,lb,Mcf,0
CT,BFG,N/A,0.0014,lb,Mcf,0
CT,BFG,OTHER,0.0014,lb,Mcf,0
CT,BFG,STOKER,0.0008,lb,Mcf,0
CT,BFG,TANGENTIAL,0.0009,lb,Mcf,0
CT,BFG,VERTICAL,0.0013,lb,Mcf,0
CT,BFG,WALL,0.0012,lb,Mcf,0
GT,BFG,CELLBURNER,0.001,lb,Mcf,0
GT,BFG,CYCLONE,0.0006,lb,Mcf,0
GT,BFG,DUCTBURNER,0.0011,lb,Mcf,0
GT,BFG,FLUIDIZED,0.0007,lb,Mcf,0
GT,BFG,N/A,0.0014,lb,Mcf,0
GT,BFG,OTHER,0.0014,lb,Mcf,0
GT,BFG,STOKER,0.0008,lb,Mcf,0
GT,BFG,TANGENTIAL,0.0009,lb,Mcf,0
GT,BFG,VERTICAL,0.0013,lb,Mcf,0
GT,BFG,WALL,0.0012,lb,Mcf,0
IC,BFG,CELLBURNER,0.001,lb,Mcf,0
IC,BFG,CYCLONE,0.0006,lb,Mcf,0
IC,BFG,DUCTBURNER,0.0011,lb,Mcf,0
IC,BFG,FLUIDIZED,0.0007,lb,Mcf,0
IC,BFG,N/A,0.0014,lb,Mcf,0
IC,BFG,OTHER,0.0014,lb,Mcf,0
IC,BFG,STOKER,0.0008,lb,Mcf,0
IC,BFG,TANGENTIAL,0.0009,lb,Mcf,0
IC,BFG,VERTICAL,0.0013,lb,Mcf,0
IC,BFG,WALL,0.0012,lb,Mcf,0
OT,BFG,CELLBURNER,0.0006,lb,Mcf,0
OT,BFG,CYCLONE,0.0006,lb,Mcf,0
OT,BFG,DUCTBURNER,0.0006,lb,Mcf,0
OT,BFG,FLUIDIZED,0.00006,lb,Mcf,0
OT,BFG,N/A,0.00006,lb,Mcf,0
OT,BFG,OTHER,0.0006,lb,Mcf,0
OT,BFG,STOKER,0.0006,lb,Mcf,0
OT,BFG,TANGENTIAL,0.0006,lb,Mcf,0
OT,BFG,VERTICAL,0.0006,lb,Mcf,0
OT,BFG,WALL,0.0006,lb,Mcf,0
ST,BFG,CELLBURNER,0.0006,lb,Mcf,0
ST,BFG,CYCLONE,0.0006,lb,Mcf,0
ST,BFG,DUCTBURNER,0.0006,lb,Mcf,0
ST,BFG,FLUIDIZED,0.00006,lb,Mcf,0
ST,BFG,N/A,0.00006,lb,Mcf,0
ST,BFG,OTHER,0.0006,lb,Mcf,0
ST,BFG,STOKER,0.0006,lb,Mcf,0
ST,BFG,TANGENTIAL,0.0006,lb,Mcf,0
ST,BFG,VERTICAL,0.0006,lb,Mcf,0
ST,BFG,WALL,0.0006,lb,Mcf,0
OT,BIT,CELLBURNER,38*S,lb,short ton,1
OT,BIT,CYCLONE,38*S,lb,short ton,1
OT,BIT,DUCTBURNER,38*S,lb,short ton,1
OT,BIT,FLUIDIZED,3.8*S,lb,short ton,1
OT,BIT,N/A,3.8*S,lb,short ton,1
OT,BIT,OTHER,38*S,lb,short ton,1
OT,BIT,STOKER,38*S,lb,short ton,1
OT,BIT,TANGENTIAL,38*S,lb,short ton,1
OT,BIT,VERTICAL,38*S,lb,short ton,1
OT,BIT,WALL,38*S,lb,short ton,1
ST,BIT,CELLBURNER,38*S,lb,short ton,1
ST,BIT,CYCLONE,38*S,lb,short ton,1
ST,BIT,DUCTBURNER,38*S,lb,short ton,1
ST,BIT,FLUIDIZED,3.8*S,lb,short ton,1
ST,BIT,N/A,3.8*S,lb,short ton,1
ST,BIT,OTHER,38*S,lb,short ton,1
ST,BIT,STOKER,38*S,lb,short ton,1
ST,BIT,TANGENTIAL,38*S,lb,short ton,1
ST,BIT,VERTICAL,38*S,lb,short ton,1
ST,BIT,WALL,38*S,lb,short ton,1
OT,BLQ,CELLBURNER,7,lb,short ton,0
OT,BLQ,CYCLONE,7,lb,short ton,0
OT,BLQ,DUCTBURNER,7,lb,short ton,0
OT,BLQ,FLUIDIZED,0.7,lb,short ton,0
OT,BLQ,N/A,0.7,lb,short ton,0
OT,BLQ,OTHER,7,lb,short ton,0
OT,BLQ,STOKER,7,lb,short ton,0
OT,BLQ,TANGENTIAL,7,lb,short ton,0
OT,BLQ,VERTICAL,7,lb,short ton,0
OT,BLQ,WALL,7,lb,short ton,0
ST,BLQ,CELLBURNER,7,lb,short ton,0
ST,BLQ,CYCLONE,7,lb,short ton,0
ST,BLQ,DUCTBURNER,7,lb,short ton,0
ST,BLQ,FLUIDIZED,0.7,lb,short ton,0
ST,BLQ,N/A,0.7,lb,short ton,0
ST,BLQ,OTHER,7,lb,short ton,0
ST,BLQ,STOKER,7,lb,short ton,0
ST,BLQ,TANGENTIAL,7,lb,short ton,0
ST,BLQ,VERTICAL,7,lb,short ton,0
ST,BLQ,WALL,7,lb,short ton,0
CA,DFO,CELLBURNER,5.88*S,lb,barrel,1
CA,DFO,CYCLONE,5.88*S,lb,barrel,1
CA,DFO,DUCTBURNER,5.88*S,lb,barrel,1
CA,DFO,FLUIDIZED,5.88*S,lb,barrel,1
CA,DFO,N/A,5.88*S,lb,barrel,1
CA,DFO,OTHER,5.88*S,lb,barrel,1
CA,DFO,STOKER,5.88*S,lb,barrel,1
CA,DFO,TANGENTIAL,5.88*S,lb,barrel,1
CA,DFO,VERTICAL,5.88*S,lb,barrel,1
CA,DFO,WALL,5.88*S,lb,barrel,1
CS,DFO,CELLBURNER,5.88*S,lb,barrel,1
CS,DFO,CYCLONE,5.88*S,lb,barrel,1
CS,DFO,DUCTBURNER,5.88*S,lb,barrel,1
CS,DFO,FLUIDIZED,5.88*S,lb,barrel,1
CS,DFO,N/A,5.88*S,lb,barrel,1
CS,DFO,OTHER,5.88*S,lb,barrel,1
CS,DFO,STOKER,5.88*S,lb,barrel,1
CS,DFO,TANGENTIAL,5.88*S,lb,barrel,1
CS,DFO,VERTICAL,5.88*S,lb,barrel,1
CS,DFO,WALL,5.88*S,lb,barrel,1
CT,DFO,CELLBURNER,5.88*S,lb,barrel,1
CT,DFO,CYCLONE,5.88*S,lb,barrel,1
CT,DFO,DUCTBURNER,5.88*S,lb,barrel,1
CT,DFO,FLUIDIZED,5.88*S,lb,barrel,1
CT,DFO,N/A,5.88*S,lb,barrel,1
CT,DFO,OTHER,5.88*S,lb,barrel,1
CT,DFO,STOKER,5.88*S,lb,barrel,1
CT,DFO,TANGENTIAL,5.88*S,lb,barrel,1
CT,DFO,VERTICAL,5.88*S,lb,barrel,1
CT,DFO,WALL,5.88*S,lb,barrel,1
GT,DFO,CELLBURNER,5.88*S,lb,barrel,1
GT,DFO,CYCLONE,5.88*S,lb,barrel,1
GT,DFO,DUCTBURNER,5.88*S,lb,barrel,1
GT,DFO,FLUIDIZED,5.88*S,lb,barrel,1
GT,DFO,N/A,5.88*S,lb,barrel,1
GT,DFO,OTHER,5.88*S,lb,barrel,1
GT,DFO,STOKER,5.88*S,lb,barrel,1
GT,DFO,TANGENTIAL,5.88*S,lb,barrel,1
GT,DFO,VERTICAL,5.88*S,lb,barrel,1
GT,DFO,WALL,5.88*S,lb,barrel,1
IC,DFO,CELLBURNER,5.88*S,lb,barrel,1
IC,DFO,CYCLONE,5.88*S,lb,barrel,1
IC,DFO,DUCTBURNER,5.88*S,lb,barrel,1
IC,DFO,FLUIDIZED,5.88*S,lb,barrel,1
IC,DFO,N/A,5.88*S,lb,barrel,1
IC,DFO,OTHER,5.88*S,lb,barrel,1
IC,DFO,STOKER,5.88*S,lb,barrel,1
IC,DFO,TANGENTIAL,5.88*S,lb,barrel,1
IC,DFO,VERTICAL,5.88*S,lb,barrel,1
IC,DFO,WALL,5.88*S,lb,barrel,1
OT,DFO,CELLBURNER,5.964*S,lb,barrel,1
OT,DFO,CYCLONE,5.964*S,lb,barrel,1
OT,DFO,DUCTBURNER,5.964*S,lb,barrel,1
OT,DFO,FLUIDIZED,0.5964*S,lb,barrel,1
OT,DFO,N/A,0.5964*S,lb,barrel,1
OT,DFO,OTHER,5.964*S,lb,barrel,1
OT,DFO,STOKER,5.964*S,lb,barrel,1
OT,DFO,TANGENTIAL,5.964*S,lb,barrel,1
OT,DFO,VERTICAL,5.964*S,lb,barrel,1
OT,DFO,WALL,5.964*S,lb,barrel,1
ST,DFO,CELLBURNER,5.964*S,lb,barrel,1
ST,DFO,CYCLONE,5.964*S,lb,barrel,1
ST,DFO,DUCTBURNER,5.964*S,lb,barrel,1
ST,DFO,FLUIDIZED,0.5964*S,lb,barrel,1
ST,DFO,N/A,0.5964*S,lb,barrel,1
ST,DFO,OTHER,5.964*S,lb,barrel,1
ST,DFO,STOKER,5.964*S,lb,barrel,1
ST,DFO,TANGENTIAL,5.964*S,lb,barrel,1
ST,DFO,VERTICAL,5.964*S,lb,barrel,1
ST,DFO,WALL,5.964*S,lb,barrel,1
CA,JF,CELLBURNER,5.88*S,lb,barrel,1
CA,JF,CYCLONE,5.88*S,lb,barrel,1
CA,JF,DUCTBURNER,5.88*S,lb,barrel,1
CA,JF,FLUIDIZED,5.88*S,lb,barrel,1
CA,JF,N/A,5.88*S,lb,barrel,1
CA,JF,OTHER,5.88*S,lb,barrel,1
CA,JF,STOKER,5.88*S,lb,barrel,1
CA,JF,TANGENTIAL,5.88*S,lb,barrel,1
CA,JF,VERTICAL,5.88*S,lb,barrel,1
CA,JF,WALL,5.88*S,lb,barrel,1
CS,JF,CELLBURNER,5.88*S,lb,barrel,1
CS,JF,CYCLONE,5.88*S,lb,barrel,1
CS,JF,DUCTBURNER,5.88*S,lb,barrel,1
CS,JF,FLUIDIZED,5.88*S,lb,barrel,1
CS,JF,N/A,5.88*S,lb,barrel,1
CS,JF,OTHER,5.88*S,lb,barrel,1
