energy_source_code,energy_source_description,fuel_category_eia,fuel_category_eia930,fuel_category_egrid,fuel_category,fuel_category_BPAT,fuel_category_CISO,fuel_category_ERCO,fuel_category_ERCO-H,fuel_category_ISNE,fuel_category_MISO,fuel_category_NYIS,fuel_category_PJM,fuel_category_SWPP
AB,Agricultural Byproducts,other_biomass,other,biomass,biomass,fossil_and_biomass,biomass,biomass,biomass,other,other,other_renewables,other_renewables,other
ANT,Anthracite Coal,coal,coal,coal,coal,fossil_and_biomass,coal,coal,coal,coal,coal,other_fossil,coal,coal
BFG,Blast Furnace Gas,natural_gas,natural_gas,other_fossil,natural_gas,fossil_and_biomass,natural_gas,natural_gas,natural_gas,natural_gas,natural_gas,natural_gas,natural_gas,natural_gas
BIT,Bituminous Coal,coal,coal,coal,coal,fossil_and_biomass,coal,coal,coal,coal,coal,other_fossil,coal,coal
BLQ,Black Liquor,wood,other,biomass,biomass,fossil_and_biomass,biomass,biomass,biomass,wood,wood,other_renewables,wood,other
DFO,Distillate Fuel Oil/Diesel,petroleum_products,petroleum,oil,petroleum,fossil_and_biomass,petroleum,other,other,oil,oil,other_fossil,petroleum,oil
GEO,Geothermal,other_renewable,other,geothermal,geothermal,other,geothermal,other,other,other,other,other_renewables,other_renewables,other
JF,Jet Fuel,petroleum_products,petroleum,oil,petroleum,fossil_and_biomass,petroleum,other,other,oil,oil,other_fossil,petroleum,oil
KER,Kerosene,petroleum_products,petroleum,oil,petroleum,fossil_and_biomass,petroleum,other,other,oil,oil,other_fossil,petroleum,oil
LFG,Landfill Gas,other_biomass,other,biomass,biomass,fossil_and_biomass,biogas,biomass,biomass,landfill_gas,other,other_renewables,other_renewables,other
LIG,Lignite Coal,coal,coal,coal,coal,fossil_and_biomass,coal,coal,coal,coal,coal,other_fossil,coal,coal
MSB,Municipal Solid Waste (biogenic),other_biomass,other,biomass,waste,fossil_and_biomass,other,other,other,refuse,other,other_renewables,other,waste
MSN,Municipal Solid Waste (nonbiogenic),other_biomass,other,other_fossil,waste,other,other,other,other,refuse,other,other_renewables,other,waste
