prime_mover_code,energy_source_code,wet_dry_bottom,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator
ST,AB,wet,cyclone_firing,1.2,lb,ton
ST,AB,none,none,1.2,lb,ton
ST,AB,dry,stoker,1.2,lb,ton
ST,AB,none,stoker,1.2,lb,ton
OT,AB,dry,none,1.2,lb,ton
OT,AB,wet,none,1.2,lb,ton
OT,AB,none,none,1.2,lb,ton
OT,BFG,none,none,0.0154,lb,mcf
ST,BFG,none,none,0.0154,lb,mcf
ST,BFG,dry,none,0.0154,lb,mcf
ST,BFG,wet,tangential_firing,0.0154,lb,mcf
ST,BFG,dry,tangential_firing,0.0154,lb,mcf
ST,BFG,none,tangential_firing,0.0154,lb,mcf
ST,BFG,dry,wall_fired,0.0154,lb,mcf
ST,BFG,none,wall_fired,0.0154,lb,mcf
CA,BIT,dry,duct_burner,12,lb,ton
CA,BIT,none,duct_burner,12,lb,ton
CA,BIT,wet,duct_burner,31,lb,ton
CA,BIT,none,none,12,lb,ton
ST,BIT,dry,cell_burner,12,lb,ton
ST,BIT,dry,cyclone_firing,33,lb,ton
ST,BIT,none,cyclone_firing,33,lb,ton
ST,BIT,wet,cyclone_firing,33,lb,ton
ST,BIT,dry,fluidized_bed_firing,5,lb,ton
ST,BIT,none,fluidized_bed_firing,5,lb,ton
ST,BIT,wet,fluidized_bed_firing,5,lb,ton
ST,BIT,none,none,12,lb,ton
ST,BIT,dry,none,12,lb,ton
ST,BIT,wet,none,31,lb,ton
ST,BIT,dry,other,12,lb,ton
ST,BIT,none,other,12,lb,ton
ST,BIT,wet,other,31,lb,ton
ST,BIT,dry,stoker,11,lb,ton
ST,BIT,none,stoker,11,lb,ton
ST,BIT,wet,stoker,11,lb,ton
ST,BIT,dry,tangential_firing,10,lb,ton
ST,BIT,none,tangential_firing,10,lb,ton
ST,BIT,wet,tangential_firing,14,lb,ton
ST,BIT,dry,vertical_firing,12,lb,ton
ST,BIT,wet,vertical_firing,31,lb,ton
ST,BIT,dry,wall_fired,12,lb,ton
ST,BIT,none,wall_fired,12,lb,ton
ST,BIT,wet,wall_fired,31,lb,ton
ST,BLQ,dry,cell_burner,1.5,lb,ton
ST,BLQ,none,cyclone_firing,1.5,lb,ton
ST,BLQ,none,duct_burner,1.5,lb,ton
ST,BLQ,dry,fluidized_bed_firing,1.5,lb,ton
ST,BLQ,none,fluidized_bed_firing,1.5,lb,ton
ST,BLQ,wet,fluidized_bed_firing,1.5,lb,ton
ST,BLQ,none,none,1.5,lb,ton
ST,BLQ,dry,none,1.5,lb,ton
ST,BLQ,wet,none,1.5,lb,ton
ST,BLQ,dry,other,1.5,lb,ton
ST,BLQ,none,other,1.5,lb,ton
ST,BLQ,dry,stoker,1.5,lb,ton
ST,BLQ,none,stoker,1.5,lb,ton
ST,BLQ,wet,stoker,1.5,lb,ton
ST,BLQ,dry,tangential_firing,1.5,lb,ton
ST,BLQ,none,tangential_firing,1.5,lb,ton
ST,BLQ,wet,tangential_firing,1.5,lb,ton
ST,BLQ,dry,vertical_firing,1.5,lb,ton
ST,BLQ,dry,wall_fired,1.5,lb,ton
ST,BLQ,none,wall_fired,1.5,lb,ton
ST,BLQ,wet,wall_fired,1.5,lb,ton
OT,COG,none,none,0.0154,lb,mcf
ST,COG,none,cyclone_firing,0.0154,lb,mcf
ST,COG,none,none,0.0154,lb,mcf
ST,COG,none,wall_fired,0.0154,lb,mcf
CA,DFO,none,cell_burner,5.124,lb,barrels
CA,DFO,dry,duct_burner,5.124,lb,barrels
CA,DFO,none,duct_burner,5.124,lb,barrels
CA,DFO,none,none,5.124,lb,barrels
CA,DFO,none,other,5.124,lb,barrels
CA,DFO,dry,other,5.124,lb,barrels
CA,DFO,none,wall_fired,5.124,lb,barrels
CS,DFO,none,none,5.124,lb,barrels
CT,DFO,none,CC,5.124,lb,barrels
CT,DFO,none,cell_burner,5.124,lb,barrels
CT,DFO,dry,duct_burner,5.124,lb,barrels
CT,DFO,none,duct_burner,5.124,lb,barrels
CT,DFO,none,none,5.124,lb,barrels
