ipcc_version,year,gwp_horizon,gas,gwp
SAR,1995,20,co2,1
SAR,1995,100,co2,1
SAR,1995,20,ch4,56
SAR,1995,100,ch4,21
SAR,1995,20,n2o,280
SAR,1995,100,n2o,310
TAR,2001,20,co2,1
TAR,2001,100,co2,1
TAR,2001,20,ch4,62
TAR,2001,100,ch4,23
TAR,2001,20,n2o,275
TAR,2001,100,n2o,296
AR4,2007,20,co2,1
AR4,2007,100,co2,1
AR4,2007,20,ch4,72
AR4,2007,100,ch4,25
AR4,2007,20,n2o,289
AR4,2007,100,n2o,298
AR5,2014,20,co2,1
AR5,2014,100,co2,1
AR5,2014,20,ch4,84
AR5,2014,100,ch4,28
AR5,2014,20,n2o,264
AR5,2014,100,n2o,265
AR5_cc,2014,20,co2,1
AR5_cc,2014,100,co2,1
AR5_cc,2014,20,ch4,86
AR5_cc,2014,100,ch4,34
AR5_cc,2014,20,n2o,268
AR5_cc,2014,100,n2o,298
AR6,2021,20,co2,1
AR6,2021,100,co2,1
AR6,2021,20,ch4,81.2
AR6,2021,100,ch4,27.9
AR6,2021,20,n2o,273
AR6,2021,100,n2o,273
