plant_id_eia,emissions_unit_id_epa
1702,A
1702,B
2503,BLR114
2503,BLR115
2503,BLR116
2503,BLR117
2503,BLR118
2504,120
2504,121
2504,122
2828,B008
2828,B010
3399,A1
3399,B1
3406,AUX1
3406,AUX2
3935,AUX1
3935,AUX3
3948,AUX1
6166,AB1
6166,AB2
6264,AUX1
6264,AUX2
8102,B001
8102,B002
10865,GB1
10865,GB2
10866,13
10866,14
50240,2
50240,3
50240,5
50240,7
50472,BLR05
50479,6
50481,253-28
50627,55B100
50729,CLBLR1
50729,CLBLR2
50733,701B1
50733,701B2
50733,701B3
50733,701B5
50733,701B6
50733,720B1
50733,720B2
50733,720B3
50900,1
50900,11
50900,4
50900,5
50956,11
50956,12
52089,BLR010
52089,BLR011
52089,BLR012
52089,BLR013
52089,BLR014
52168,1
54276,ES003
55216,B-5
55216,B-6
55308,A
55308,B
55386,B-1
55386,B-2
55386,B-3
