plant_id_eia,updated_energy_source_code,basis
1743,OBS,fuel heat content
1745,OBS,fuel heat content
10167,OG,fuel heat content
10208,DFO,fuel heat content
10360,SUB,fuel heat content
10426,DFO,fuel heat content
50305,RC,fuel heat content
50473,MSB,plant type (phosphate) and fuel heat content
50474,MSB,plant type (phosphate) and fuel heat content
50481,RC,fuel heat content
50626,PC,plant type (refinery) and fuel heat content
54472,MSB,plant type (phosphate) and fuel heat content
56139,OG,plant type (refinery) and fuel heat content
56258,DFO,fuel heat content
59073,OG,plant type (refinery)
